track_id,track_name,artist,album,album_image,rank,term,duration_ms,explicit
0k6DnZMLoEUH8NGD5zh2SE,Ayo,Chris Brown,Fan of A Fan The Album (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273aee727756d5fec0de96dc6d9,32,short_term,225226,True
05r1GGg1Rhs0RcUg27C82a,Famous (feat. Reginae Carter),Lil Wayne,Tha Carter V,https://i.scdn.co/image/ab67616d0000b273bb1138165ad4ec2306f4e886,33,short_term,242050,True
12jMMRyPNMTNp3CRmdWMve,MONEY CONSTANT,DJ Maphorisa,SOUTH GIDI,https://i.scdn.co/image/ab67616d0000b2739259bc2bba7b8c89fa5b204c,34,short_term,375535,False
6F70m9aMK4PSJKBfp1H8DZ,Asibe Happy,Kabza De Small,Asibe Happy,https://i.scdn.co/image/ab67616d0000b27349cd91802b66f5873d99593f,35,short_term,458777,False
29xIQdObak8ALIgzz2FqTJ,Mwokozi,PAUL CLEMENT,The Journey,https://i.scdn.co/image/ab67616d0000b273a58182e9e065d3b0ecd2312f,36,short_term,209728,False
3HfKlhohNNTLIv2t9uvmzz,FEAR,NF,FEAR,https://i.scdn.co/image/ab67616d0000b27392640546d2877fe762c0f050,37,short_term,268519,False
6S920U14Kw9v5dedojzQLA,Kama Sio,Kusah,Kama Sio,https://i.scdn.co/image/ab67616d0000b27302b554b4d2da53a58aec13ea,38,short_term,194021,False
6YYnBEMEaj960IX1evcTun,Ogechi,Brown Joel,Ogechi,https://i.scdn.co/image/ab67616d0000b273045c5c99d5f4e5cb47f5a92d,39,short_term,152133,False
0fX4oNGBWO3dSGUZcVdVV2,N95,Kendrick Lamar,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,40,short_term,195950,True
37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),Drake,Certified Lover Boy,https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f,41,short_term,221979,True
3JW9hNUjUN51X9jZyn2HVV,Ngishutheni,Goon Flavour,Ngishutheni,https://i.scdn.co/image/ab67616d0000b273ce6fac61d399b5a8421ed901,42,short_term,317220,False
62auSQwzIlyVuqUsxd4w63,"Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)",DJ Maphorisa,NGOMOYA,https://i.scdn.co/image/ab67616d0000b2737fcb9128344b2424f8f8e5db,43,short_term,518307,False
0Avl2ptgAslvucP3XxLMtV,For The Moment,Chris Brown,BROWN,https://i.scdn.co/image/ab67616d0000b2734b28d4d23dc56dc3ceda4b5d,44,short_term,206835,True
0UVlOQ3EEiTVOctUOnJ00w,Voilà,Barbara Pravi,On n’enferme pas les oiseaux,https://i.scdn.co/image/ab67616d0000b273ec4068956824493210f6eae8,45,short_term,177426,False
19Ndp9IyGC12SqKRTrdFE8,ICARUS (feat. ARKAI) - Orchestral Version,Tony Ann,SYNERGY,https://i.scdn.co/image/ab67616d0000b2730e4cdd363b744623fa8aa39d,46,short_term,170306,False
1PjHUJIucP7MdMmCjCwwG2,Usiende Mbali,JustBasweti,Usiende Mbali,https://i.scdn.co/image/ab67616d0000b273eb3a4913eb6d758b6783b03a,47,short_term,166760,False
2fY21NO9Y9Z2pWCdMTeXkR,Champion,Fireboy DML,APOLLO,https://i.scdn.co/image/ab67616d0000b273a74766a3fc47416df6ba4db2,48,short_term,179461,True
3BzlZAqfnZDjv1F5CLlpHx,News or Something,Future,Purple Reign,https://i.scdn.co/image/ab67616d0000b2738f4d24124c0d5b6f413d9624,49,short_term,213586,True
40gRh2ZURv5tYBo8yB9Lu3,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol. 3",https://i.scdn.co/image/ab67616d0000b273e8580303c8c1e369c643fcb7,50,short_term,315426,False
2svgkUY2l7qh6bdg1fteFY,Open The Eyes of My Heart,Jordan G. Welch,Open The Eyes of My Heart,https://i.scdn.co/image/ab67616d0000b273ed6ee271e4ce12f7c188eaf5,1,medium_term,249080,False
3BzlZAqfnZDjv1F5CLlpHx,News or Something,Future,Purple Reign,https://i.scdn.co/image/ab67616d0000b2738f4d24124c0d5b6f413d9624,2,medium_term,213586,True
6ELkgGxnICLHI2dgqueu9v,Nitaamini by Voice of hope,Emanuel Nicarios,Nitaamini by Voice of hope,https://i.scdn.co/image/ab67616d0000b273e4208c75e8742ccf031593d4,3,medium_term,379008,False
6S920U14Kw9v5dedojzQLA,Kama Sio,Kusah,Kama Sio,https://i.scdn.co/image/ab67616d0000b27302b554b4d2da53a58aec13ea,4,medium_term,194021,False
5Bx78We4uQ18EoLr0V9lKS,Mlinzi wangu by voice of hope,Emanuel Nicarios,Mlinzi wangu by voice of hope,https://i.scdn.co/image/ab67616d0000b27387df424956c264fa51f261bf,5,medium_term,353784,False
7phdxeXXmjBSofVMpvqv3T,Intombi Yam' Enesono,Sushi.b,Señor Sushi,https://i.scdn.co/image/ab67616d0000b2733d392b1cdf148798c6600322,6,medium_term,223839,False
