track_id,track_name,artist,album,album_image,played_at,duration_ms,explicit
1Nq7t7GBkfb8rNAEWt4sUj,Solas x Interstellar,Gabriel Albuquerqüe,Solas x Interstellar,https://i.scdn.co/image/ab67616d0000b2732f150d197956d49ac27e941b,2026-06-03 14:06:22.866000+00:00,156425,False
18OvVTXtC3lx1Iym9E0RyT,Idea 22,Gibran Alcocer,Idea 22,https://i.scdn.co/image/ab67616d0000b2739882ae6f9fdc10b5ec438647,2026-06-03 14:03:45.873000+00:00,152000,False
7xEX406hnVXC7mDfkts2jc,Interstellar Main Theme - Piano Version,Patrik Pietschmann,Interstellar Main Theme (Piano Version),https://i.scdn.co/image/ab67616d0000b27320ca9699ecf0f7764b5cb89d,2026-06-03 14:01:13.355000+00:00,284616,False
7aTuZWl7qYNYBAHDOurXOx,ICARUS,Tony Ann,AWAKENING,https://i.scdn.co/image/ab67616d0000b273d707f16c952ad13fb52e2347,2026-06-03 13:56:28.234000+00:00,199467,False
4SWWe2OYC4mqf40Gc2RSdl,Down Below,Roddy Ricch,Feed Tha Streets II,https://i.scdn.co/image/ab67616d0000b273434f4eeb4231f6f4862cafd4,2026-06-03 13:48:19.546000+00:00,224002,True
1EaKU4dMbesXXd3BrLCtYG,ELEMENT.,Kendrick Lamar,DAMN.,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,2026-06-03 13:44:35.039000+00:00,208733,True
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,2026-06-03 13:41:05.789000+00:00,239835,True
7bHT9osSq1rwT2yaImzqCi,No Love,Eminem,Recovery,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100,2026-06-03 13:36:32.091000+00:00,299506,True
1ttPzkTSpQUFcEGx8bjerL,Every Season,Roddy Ricch,Feed Tha Streets II,https://i.scdn.co/image/ab67616d0000b273434f4eeb4231f6f4862cafd4,2026-06-03 13:31:31.988000+00:00,214375,True
3iVcZ5G6tvkXZkZKlMpIUs,Alright,Kendrick Lamar,To Pimp A Butterfly,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,2026-06-03 13:27:57.034000+00:00,219333,True
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Post Malone,Stoney (Deluxe),https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41,2026-06-03 13:24:09.966000+00:00,220293,True
05r1GGg1Rhs0RcUg27C82a,Famous (feat. Reginae Carter),Lil Wayne,Tha Carter V,https://i.scdn.co/image/ab67616d0000b273bb1138165ad4ec2306f4e886,2026-06-03 13:20:29.138000+00:00,242050,True
5BrTUo0xP1wKXLJWUaGFtk,Loyal (feat. Lil Wayne & Tyga),Chris Brown,X (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273b37e6176a034d4470304d706,2026-06-03 13:16:26.589000+00:00,264938,True
5BrTUo0xP1wKXLJWUaGFtk,Loyal (feat. Lil Wayne & Tyga),Chris Brown,X (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273b37e6176a034d4470304d706,2026-06-03 09:49:50.028000+00:00,264938,True
0dbTQYW3Ad1FTzIA9t90E8,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,Tha Carter V,https://i.scdn.co/image/ab67616d0000b273bb1138165ad4ec2306f4e886,2026-06-03 09:19:55.724000+00:00,324189,True
2lM7orFD058wiAiBixzffm,"Izolo (feat. Madumane, Mpura & Daliwonga)",DJ Maphorisa,Banyana,https://i.scdn.co/image/ab67616d0000b273d4de03cf3a15f1d0bfcc5a3e,2026-06-03 08:47:29.449000+00:00,445714,False
2dTQe0W5KXs6TNVV7yi2oS,Adiwele (feat. Kabza De Small & DJ Maphorisa),Young Stunna,Notumato,https://i.scdn.co/image/ab67616d0000b273de1efe9b284e71ce2fd4078a,2026-06-03 08:34:24.692000+00:00,471428,False
4Yb13UV0lQm5aQfGu1uKkL,Khona,Mafikizolo,Reunited,https://i.scdn.co/image/ab67616d0000b273973397915bcf8dd1baec7e9f,2026-06-03 08:04:35.851000+00:00,295461,False
2lM7orFD058wiAiBixzffm,"Izolo (feat. Madumane, Mpura & Daliwonga)",DJ Maphorisa,Banyana,https://i.scdn.co/image/ab67616d0000b273d4de03cf3a15f1d0bfcc5a3e,2026-06-03 07:59:39.890000+00:00,445714,False
0B3FovCVaGKS5w1FTidEUP,BROWN SKIN GIRL,Blue Ivy,The Lion King: The Gift,https://i.scdn.co/image/ab67616d0000b2734ccc03169b086af698178a99,2026-06-03 07:37:28.173000+00:00,248472,False
492ceDtqmafb6QD1Xfhpmo,Like a Prayer - Choir Version From “Deadpool & Wolverine”,I'll Take You There Choir,"Deadpool & Wolverine: Madonna's ""Like a Prayer"" EP",https://i.scdn.co/image/ab67616d0000b273345c6f094c563bda450ddf38,2026-06-02 13:36:13.434000+00:00,152893,False
